,Date,Recommendation,Hours Active,Comment
0,"18 December, 2017",Recommended,178.7 ,I ran a bar as the manager.Some guy with a tiny Knuckles avatar and some other guy with a Winnie the Pooh avatar helped me get drinks that were scattered across the map back to the bar.Took us around an hour.Entire room was cheering because they were too lazy to get the liquor themselves.I get more people to like me in VR than in real life.
1,"30 December, 2017",Recommended,8.2 ,"Was swarmed by a group of Mauis screaming 'You're Welcome', Hid inside a corey in the house house where i was encounted by a mini xenomorph singing Gucci Gang. From that point, I knew I was home. 11/10"
2,"25 July, 2022",Not Recommended,430.3 ,"VRChat plans to add Easy Anti Cheat in the next update. What will it do for the game? Well let me show you:What EAC will do for VRChat:Lower frameratesIncrease instabilityStop script kiddiesStop ""wholesome"" mods, accessibility mods, and quality of life modsStop AMD FSR/RSR, Intel XeSS, Nvidia VRWorks SLI from improving your framerateStop select SteamVR mods that modify the game's runtimeStop programs like AudioTeapot (audio manager/soundboard) from workingStop Linux users from playing via proton (they claimed it wouldn't yet it does)Stop Linux users from playing via Windows virtual machinesLower the playerbaseWhat EAC will NOT do for VRChat:Stop ripping (Avatar cache is still unprotected)Stop crashing (Crasher avatars)Stop all malicious mods (Those devs see this as a programming challenge)Stop all malicious actors (There's other ways of being annoying)Stop SDK moddingStop user harassment (Stop claiming this!)Close the security holes in VRC UdonImprove the game experienceWhat EAC has done in the present/past:Take routine snapshots of the user's desktop/video bufferScan all processes running on user's machinesKill or try to kill all ""unknown"" or ""untrusted"" or ""unregistered"" running processes (including homemade processes)Locate the files of ""unknown"" or ""untrusted"" or ""unregistered"" processes and upload them to Epic's serversScan the user's C:\Users\ folder and appdata folderStop users from launching the game if Windows fails to install/update itself ""correctly"" (google""easyanticheat UNEXPECTED-KERNEL-MODE-TRAP"", though epic tries to censor this issue)Stop device drivers that are ""unknown"" or ""untrusted"" or ""unregistered"" from running (including homemade drivers)VRChat devs, I know you don't care because you're hiding all the complaint posts on the feedback canny and ignore everyone's requests to just add the QoL mod ideas into the game, but for the love of god don't add EAC and listen to your community's requests. It is not good for the innocent users, the ""wholesome"" modders, and the QoL modders. Don't get me wrong, I love the community and opportunities this game has provided to me, but this is just an awful move from the devs, even with me not caring for client mods. Also maybe consider change whoever is writing the blog posts, they're so super tone deaf."
3,"17 December, 2017",Recommended,141.2 ,"First day of VRChat: watched two giant anime girls make outalmost got abducted by a gang of tiny Hatsune Mikusmet a perverted Morty who went around shoving his face into 'anime tiddies' while screaming ""aww geeze""met a guy that was tripping on acid while playing with VR and couldn't stand upsaw a businessman that was crawling underneath anime girl avatars to look up their skirts while making fapping noises10/10 immersive experience would play again"
4,"27 November, 2017",Recommended,31.1 ,Best social anxiety simulator i've played 10/10
5,"23 November, 2017",Recommended,125.4 ,This is the best VR experience I've had and I don't even own a VR headset.
6,"23 December, 2017",Recommended,43.1 ,"Today I sat at a virtual bar and pretended to drink with a cat, a xenomorph, and a tiny anime girl.What am I doing with my life.Update:Logged back in after a week and all my vr pals have migrated.I drunk alone that night"
7,"3 January, 2018",Recommended,51.1 ,"I've seen hordes of Ugandan Knuckles chasing after women making clicking noises.I've seen black and white cats chasing people screaming ""cookies and cream"".I've been headpatted by anime girls.I've given headpats to anime girls.I've drawn stupid things in 3D space.I've seen it all.I've made new friends.I've made new enemies.I've had decent conversations.I've had memetastic conversations.Deliver me to the abyss."
8,"15 November, 2017",Recommended,"15,610.2 ",Its alright.
9,"27 March, 2021",Recommended,99.1 ,Broke up with my VRchat girlfriend and heard my father cry upstairs.Would definitely recommend.
10,"April 11, 2022",Recommended,144.9 ,"I spent 3 hours talking to a dude dressed as an anime girl about my problems. 10/10, dont need therapy any more."
11,"February 11, 2021",Recommended,390.5 ,"this game has really made me want to get a vr headset to enjoy the game EVEN MORE, this game is an absolute work of art, you can become any avatar you wish just by downloading it but here are some things to know to start off1: if you want to see all of the avatars MAKE SURE your pc can handle it2:clearing the cache DOES NOT remove your avatars and maps, only the other peoples avatars and maps, make sure you do this to increase performance, i do it at least once every 1/2 days3: c to crouch on pc, z to crawl on pc4: to change your avatars facial expression (not all have facial expressions) do shift F1-F85: some avatars may have cool things you may want to try out!, do RIGHT shift and f1-f2 to enable and disable6:to see everybody`s avatar, make sure to press escape after you chose your avatar and go into the safety menu and press none, this will let you see every character7: to block a user (you wont see their avatar or hear them) you press escape, look away from your menu, click on the bubble thing sorrounding then and then go into user details and click block, to unblock you will have to go into social in the same game as the person you blocked, click on them and do the same steps except unblock8: to add friends, you press escape, left click on a user and do add friends, this will send them a friend request and you will be able to see when theyre online and what theyre doing depending on if they choose to share this information or not9: if you have mild epilepsy or epilepsy or maybe even seizures, beware, this game is most likely not for you if you have the safety mode on none, there may be some users with flashing rainbows and quick changing colours, there may also be some users which occasionally have a offensive avatar or insignia, so watch out for those and remember how to block themand finally number 10: be polite and respectful to others and dont go name calling and dont be rude, this is not liked in the community, though you can still joke around. make sure its not offensive thoughand what i would consider the most important step and how to stop being the trust level ''visitor'', step11: to stop being a visitor you shouldnt sign in through steam first but if you did so already and have  a few avatars and maps favourited worry not, click on create account once you start the game and make an account on the VRchat website, then go into the settings in game and click on upgrade account and generate a code, then type the code into VRchats website after you made an account and that will merge your accounts, meaning that all stuff from the old profile will now be in the new one! including friends, avatars and maps, but know it may take up to an hour, then enjoy VRchat!those are what i would call the 11 things to know about VRchat before getting it, i will also say one more important detail-----==YOU DO NOT NEED A VR HEADSET TO PLAY VRCHAT==-----yes it is called VRchat but you can also play it on pc simply, just download the game and when starting it lets you choose between pc and steamVR, choose PC and you will play perfectly normal on PC, anyway that was me just telling you what to expect and 11 important tips i believe everybody should know, stay safe and im signing off!-Marcin <3"
12,"July 25, 2022",Not Recommended,"1,575.0 ","horrible devs, entirely disconnected from the community and what they want.edit: they are trying to add features to appeal to the community and replace the mod functions but they are often rushed, buggy, and cause additional bugs. Each update is 1 step forward, 2 steps back."
13,"November 22, 2017",Recommended,380.2 ,> Downloads game with no VR Headset> See's two anime girls kissing eachother> Buys VR Headset10/10 Would recommend
14,"December 29, 2021",Recommended,"10,355.5 ",A strange unholy abyss that finally burned the vile filth within
15,"September 15, 2021",Recommended,128.2 ,I've been called racial slurs by at least 74 twelve year olds in this game.
